5 Minutes,Lane 1 Flow (Veh/5 Minutes),Lane 1 Speed (mph),Lane 2 Flow (Veh/5 Minutes),Lane 2 Speed (mph),Lane 3 Flow (Veh/5 Minutes),Lane 3 Speed (mph),Lane 4 Flow (Veh/5 Minutes),Lane 4 Speed (mph),Flow (Veh/5 Minutes),Speed (mph),# Lane Points,% Observed
9/13/2022 2:00,10,70.30,52,65.30,20,63.80,11,60.00,93,64.90,4,0.00
9/13/2022 2:05,11,70.40,53,65.40,20,63.90,12,60.10,96,65.00,4,0.00
9/13/2022 2:10,11,70.30,53,65.30,20,63.80,12,60.00,96,64.90,4,0.00
9/13/2022 2:15,10,70.40,52,65.40,20,63.90,11,60.10,93,65.00,4,0.00
9/13/2022 2:20,12,70.50,53,65.40,21,64.00,12,60.20,98,65.10,4,0.00
9/13/2022 2:25,10,70.40,52,65.40,20,63.90,11,60.10,93,65.00,4,0.00
9/13/2022 2:30,10,70.40,52,65.40,20,63.90,9,60.10,91,65.10,4,0.00
9/13/2022 2:35,12,70.50,53,65.40,21,64.00,12,60.20,98,65.10,4,0.00
9/13/2022 2:40,13,70.60,54,65.50,22,64.10,13,60.30,102,65.20,4,0.00
9/13/2022 2:45,13,70.60,54,65.50,22,64.10,13,60.30,102,65.20,4,0.00
9/13/2022 2:50,12,70.50,53,65.40,21,64.00,12,60.20,98,65.10,4,0.00
9/13/2022 2:55,10,70.40,52,65.40,20,63.90,11,60.10,93,65.00,4,0.00
9/13/2022 3:00,12,70.30,53,65.30,21,63.80,12,60.00,98,64.90,4,0.00
9/13/2022 3:05,12,70.30,53,65.30,21,63.80,12,60.00,98,64.90,4,0.00
9/13/2022 3:10,20,70.30,60,65.30,27,63.80,17,60.00,124,65.10,4,0.00
9/13/2022 3:15,15,70.30,56,65.30,23,63.80,14,60.00,108,65.00,4,0.00
9/13/2022 3:20,16,70.40,57,65.40,24,63.90,14,60.10,111,65.10,4,0.00
9/13/2022 3:25,25,70.00,64,65.00,31,63.60,20,59.80,140,64.80,4,0.00
9/13/2022 3:30,25,70.20,64,65.20,31,63.80,20,60.00,140,65.00,4,0.00
9/13/2022 3:35,24,69.90,64,64.90,30,63.50,20,59.70,138,64.70,4,0.00
9/13/2022 3:40,26,70.00,65,65.00,31,63.60,21,59.80,143,64.90,4,0.00
9/13/2022 3:45,22,70.40,62,65.40,29,63.90,18,60.10,131,65.20,4,0.00
9/13/2022 3:50,24,70.10,64,65.10,30,63.70,20,59.90,138,64.90,4,0.00
9/13/2022 3:55,35,70.10,72,65.10,38,63.70,26,59.80,171,65.00,4,0.00
9/13/2022 4:00,31,70.10,69,65.10,35,63.70,24,59.80,159,65.00,4,0.00
9/13/2022 4:05,34,70.00,72,65.00,37,63.60,25,59.80,168,64.90,4,0.00
9/13/2022 4:10,40,70.40,77,65.40,42,63.90,29,60.10,188,65.30,4,0.00
9/13/2022 4:15,49,70.30,84,65.30,48,63.80,35,60.00,216,65.30,4,0.00
9/13/2022 4:20,58,69.50,92,64.50,55,63.10,40,59.30,245,64.50,4,0.00
9/13/2022 4:25,61,70.00,94,65.00,57,63.60,42,59.70,254,65.00,4,0.00
9/13/2022 4:30,77,70.10,108,65.10,68,63.70,52,59.80,305,65.10,4,0.00
9/13/2022 4:35,59,70.00,93,65.00,55,63.60,41,59.70,248,65.00,4,0.00
9/13/2022 4:40,69,69.80,101,64.80,62,63.40,47,59.60,279,64.80,4,0.00
9/13/2022 4:45,87,70.00,116,65.00,75,63.60,58,59.70,336,65.10,4,0.00
9/13/2022 4:50,88,69.30,117,64.40,76,63.00,58,59.20,339,64.50,4,0.00
9/13/2022 4:55,85,69.60,114,64.60,74,63.20,57,59.40,330,64.70,4,0.00
9/13/2022 5:00,95,71.10,122,66.00,81,64.50,62,60.70,360,66.10,4,0.00
9/13/2022 5:05,114,71.30,138,66.10,95,64.70,74,60.90,421,66.30,4,0.00
9/13/2022 5:10,123,71.90,146,66.60,101,65.20,80,61.40,450,66.80,4,0.00
9/13/2022 5:15,119,71.70,143,66.50,99,65.10,78,61.20,439,66.60,4,0.00
9/13/2022 5:20,152,70.60,170,65.50,123,64.10,98,60.30,543,65.70,4,0.00
9/13/2022 5:25,143,70.10,162,65.10,116,63.70,92,59.90,513,65.20,4,0.00
9/13/2022 5:30,128,70.80,150,65.70,105,64.30,83,60.50,466,65.90,4,0.00
9/13/2022 5:35,139,70.10,159,65.10,113,63.70,90,59.90,501,65.20,4,0.00
9/13/2022 5:40,159,70.30,176,65.20,128,63.90,102,60.00,565,65.40,4,0.00
9/13/2022 5:45,155,69.30,173,64.40,125,62.90,100,59.10,553,64.50,4,0.00
9/13/2022 5:50,155,70.20,173,65.20,125,63.80,100,59.90,553,65.30,4,0.00
9/13/2022 5:55,161,68.10,177,63.40,129,61.90,103,58.20,570,63.50,4,0.00
9/13/2022 6:00,164,67.20,180,62.60,131,61.10,105,57.40,580,62.60,4,0.00
9/13/2022 6:05,142,69.50,162,64.50,115,63.10,91,59.30,510,64.70,4,0.00
9/13/2022 6:10,165,68.10,181,63.40,132,61.90,105,58.20,583,63.40,4,0.00
9/13/2022 6:15,171,68.20,186,63.40,136,62.00,109,58.30,602,63.50,4,0.00
9/13/2022 6:20,174,67.60,188,63.00,139,61.50,111,57.80,612,63.00,4,0.00
9/13/2022 6:25,174,66.50,188,62.10,139,60.60,111,57.00,612,62.10,4,0.00
9/13/2022 6:30,167,67.00,182,62.50,133,61.00,106,57.30,588,62.50,4,0.00
9/13/2022 6:35,180,66.60,193,62.20,143,60.70,115,57.10,631,62.20,4,0.00
9/13/2022 6:40,174,66.10,188,61.70,139,60.10,111,56.50,612,61.60,4,0.00
9/13/2022 6:45,165,65.90,181,61.60,132,60.10,105,56.50,583,61.50,4,0.00
9/13/2022 6:50,143,54.90,162,52.80,116,50.90,92,48.00,513,52.10,4,0.00
9/13/2022 6:55,141,46.00,161,45.40,114,43.20,91,40.90,507,44.30,4,0.00
9/13/2022 7:00,123,37.50,146,38.80,101,36.40,80,34.60,450,37.20,4,0.00
9/13/2022 7:05,146,34.70,166,36.70,120,34.10,96,32.50,528,34.80,4,0.00
9/13/2022 7:10,152,31.40,171,34.00,125,31.30,100,29.90,548,31.90,4,0.00
9/13/2022 7:15,156,29.90,174,32.80,128,30.00,103,28.70,561,30.60,4,0.00
9/13/2022 7:20,173,27.90,187,31.20,142,28.40,116,27.20,618,28.90,4,0.00
9/13/2022 7:25,166,28.20,182,31.40,135,28.60,109,27.40,592,29.10,4,0.00
9/13/2022 7:30,157,27.70,175,31.00,129,28.30,103,27.10,564,28.80,4,0.00
9/13/2022 7:35,158,26.20,176,29.80,130,27.00,104,25.90,568,27.40,4,0.00
9/13/2022 7:40,168,27.10,184,30.60,137,27.80,111,26.60,600,28.20,4,0.00
9/13/2022 7:45,152,27.00,171,30.40,125,27.60,100,26.50,548,28.10,4,0.00
9/13/2022 7:50,158,26.00,176,29.60,130,26.80,104,25.70,568,27.20,4,0.00
9/13/2022 7:55,183,27.90,197,29.90,149,26.60,120,25.10,649,27.70,4,0.00
9/13/2022 8:00,179,28.40,194,30.00,146,26.80,118,25.30,637,28.00,4,0.00
9/13/2022 8:05,161,28.00,178,30.70,132,27.50,106,26.00,577,28.40,4,0.00
9/13/2022 8:10,167,27.00,182,29.20,137,25.90,112,24.50,598,27.00,4,0.00
9/13/2022 8:15,167,24.90,183,27.10,136,23.70,110,22.40,596,24.80,4,0.00
9/13/2022 8:20,148,22.50,168,25.10,122,21.50,98,20.40,536,22.70,4,0.00
9/13/2022 8:25,162,25.80,179,27.90,133,24.50,107,23.10,581,25.70,4,0.00
9/13/2022 8:30,147,25.80,167,27.90,121,24.50,97,23.10,532,25.70,4,0.00
9/13/2022 8:35,154,26.50,172,28.40,127,25.00,103,23.60,556,26.20,4,0.00
9/13/2022 8:40,148,24.80,168,27.00,122,23.60,98,22.30,536,24.70,4,0.00
9/13/2022 8:45,166,25.80,181,27.90,135,24.50,109,23.10,591,25.60,4,0.00
9/13/2022 8:50,164,26.00,181,27.90,134,24.60,108,23.20,587,25.70,4,0.00
9/13/2022 8:55,157,25.10,175,27.20,129,23.80,103,22.50,564,25.00,4,0.00
9/13/2022 9:00,162,26.90,179,28.70,133,25.40,107,24.00,581,26.60,4,0.00
9/13/2022 9:05,127,27.10,150,30.60,106,27.40,84,25.90,467,28.10,4,0.00
9/13/2022 9:10,137,27.30,158,29.40,114,26.10,91,24.70,500,27.20,4,0.00
9/13/2022 9:15,162,27.70,179,29.50,133,26.20,107,24.80,581,27.40,4,0.00
9/13/2022 9:20,152,26.60,171,28.50,125,25.10,100,23.70,548,26.30,4,0.00
9/13/2022 9:25,146,25.50,166,27.60,120,24.20,96,22.90,528,25.40,4,0.00
9/13/2022 9:30,144,24.90,165,28.80,119,25.80,95,24.30,523,26.20,4,0.00
9/13/2022 9:35,163,26.60,180,29.70,133,26.40,107,24.90,583,27.20,4,0.00
9/13/2022 9:40,152,27.00,171,29.90,125,26.70,100,25.20,548,27.50,4,0.00
9/13/2022 9:45,157,27.30,175,29.60,129,26.30,103,24.80,564,27.30,4,0.00
9/13/2022 9:50,161,27.40,178,30.80,132,28.00,106,26.70,577,28.50,4,0.00
9/13/2022 9:55,129,30.70,151,33.40,106,30.80,83,29.40,469,31.40,4,0.00
9/13/2022 10:00,128,47.20,150,46.60,105,44.50,83,42.10,466,45.50,4,0.00
9/13/2022 10:05,139,58.40,159,55.60,113,53.80,90,50.70,501,55.10,4,0.00
9/13/2022 10:10,132,64.40,153,60.40,108,58.80,85,55.40,478,60.30,4,0.00
9/13/2022 10:15,124,66.60,147,62.20,102,60.70,80,57.10,453,62.20,4,0.00
9/13/2022 10:20,119,68.80,143,63.90,99,62.50,78,58.70,439,64.00,4,0.00
9/13/2022 10:25,140,69.40,160,64.40,114,63.00,90,59.20,504,64.50,4,0.00
9/13/2022 10:30,122,69.20,145,64.30,101,62.80,79,59.00,447,64.40,4,0.00
9/13/2022 10:35,145,69.10,164,64.20,117,62.80,93,59.00,519,64.30,4,0.00
9/13/2022 10:40,114,69.40,139,64.40,95,63.00,75,59.20,423,64.50,4,0.00
9/13/2022 10:45,126,68.30,148,63.50,103,62.00,82,58.30,459,63.50,4,0.00
9/13/2022 10:50,131,68.90,152,64.00,107,62.60,84,58.80,474,64.10,4,0.00
9/13/2022 10:55,131,70.00,152,65.00,107,63.50,84,59.70,474,65.10,4,0.00
9/13/2022 11:00,109,70.30,134,65.20,91,63.90,71,60.00,405,65.40,4,0.00
9/13/2022 11:05,113,68.90,137,64.00,94,62.60,73,58.80,417,64.10,4,0.00
9/13/2022 11:10,95,69.90,123,64.90,82,63.50,63,59.70,363,65.00,4,0.00
9/13/2022 11:15,121,70.50,144,65.40,100,64.00,79,60.20,444,65.60,4,0.00
9/13/2022 11:20,93,71.40,120,66.00,79,64.70,61,60.80,353,66.20,4,0.00
9/13/2022 11:25,111,69.40,136,64.50,93,63.00,72,59.20,412,64.50,4,0.00
9/13/2022 11:30,76,68.50,106,63.70,67,62.20,51,58.50,300,63.70,4,0.00
9/13/2022 11:35,101,69.70,128,64.70,86,63.30,67,59.50,382,64.80,4,0.00
9/13/2022 11:40,102,68.70,128,63.80,86,62.40,67,58.60,383,63.90,4,0.00
9/13/2022 11:45,94,67.10,121,62.50,80,61.00,62,57.30,357,62.50,4,0.00
9/13/2022 11:50,95,69.10,122,64.20,82,62.80,63,59.00,362,64.20,4,0.00
9/13/2022 11:55,87,69.00,116,64.10,76,62.70,58,58.90,337,64.10,4,0.00
9/13/2022 12:00,87,68.50,116,63.70,76,62.20,58,58.50,337,63.70,4,0.00
9/13/2022 12:05,96,66.50,124,62.00,82,60.50,64,56.80,366,61.90,4,0.00
9/13/2022 12:10,93,67.70,120,63.10,79,61.60,61,57.90,353,63.10,4,0.00
9/13/2022 12:15,108,65.60,133,61.20,90,59.70,71,56.00,402,61.10,4,0.00
9/13/2022 12:20,95,64.60,122,60.30,81,58.80,62,55.20,360,60.20,4,0.00
9/13/2022 12:25,83,65.90,113,61.50,73,59.90,56,56.30,325,61.40,4,0.00
9/13/2022 12:30,95,68.50,123,63.70,82,62.20,63,58.50,363,63.70,4,0.00
9/13/2022 12:35,91,68.10,119,63.40,79,61.90,61,58.20,350,63.40,4,0.00
9/13/2022 12:40,108,68.70,133,63.80,90,62.40,71,58.60,402,63.90,4,0.00
9/13/2022 12:45,92,68.10,120,63.40,79,61.90,61,58.20,352,63.40,4,0.00
9/13/2022 12:50,94,69.20,121,64.30,80,62.80,62,59.10,357,64.30,4,0.00
9/13/2022 12:55,93,69.60,120,64.60,79,63.20,61,59.40,353,64.70,4,0.00
9/13/2022 13:00,113,67.40,137,62.80,94,61.30,73,57.60,417,62.80,4,0.00
9/13/2022 13:05,92,68.40,120,63.60,79,62.10,61,58.40,352,63.60,4,0.00
9/13/2022 13:10,93,68.50,120,63.70,79,62.20,61,58.50,353,63.70,4,0.00
9/13/2022 13:15,95,66.90,122,62.30,81,60.80,62,57.10,360,62.30,4,0.00
9/13/2022 13:20,105,67.50,131,62.80,89,61.30,70,57.60,395,62.80,4,0.00
9/13/2022 13:25,90,68.50,118,63.70,77,62.20,60,58.50,345,63.70,4,0.00
9/13/2022 13:30,95,69.80,123,64.80,82,63.40,63,59.60,363,64.90,4,0.00
9/13/2022 13:35,78,67.10,109,62.50,69,61.00,53,57.30,309,62.50,4,0.00
9/13/2022 13:40,82,66.70,112,62.20,72,60.60,55,57.00,321,62.10,4,0.00
9/13/2022 13:45,88,67.60,117,63.00,76,61.50,58,57.80,339,63.00,4,0.00
9/13/2022 13:50,95,68.40,122,63.60,81,62.10,62,58.40,360,63.60,4,0.00
9/13/2022 13:55,83,69.60,113,64.60,73,63.20,56,59.40,325,64.70,4,0.00
9/13/2022 14:00,77,67.50,108,62.80,68,61.30,52,57.60,305,62.80,4,0.00
9/13/2022 14:05,83,67.90,113,63.20,73,61.70,56,58.00,325,63.20,4,0.00
9/13/2022 14:10,79,66.90,109,62.30,70,60.80,53,57.10,311,62.20,4,0.00
9/13/2022 14:15,87,68.10,116,63.40,75,61.90,58,58.20,336,63.40,4,0.00
9/13/2022 14:20,90,68.90,118,64.00,77,62.60,60,58.80,345,64.10,4,0.00
9/13/2022 14:25,103,68.80,129,63.90,87,62.50,68,58.70,387,64.00,4,0.00
9/13/2022 14:30,113,70.40,137,65.30,94,63.90,73,60.10,417,65.50,4,0.00
9/13/2022 14:35,88,69.50,117,64.50,76,63.10,58,59.30,339,64.60,4,0.00
9/13/2022 14:40,112,68.10,136,63.40,93,61.90,73,58.20,414,63.40,4,0.00
9/13/2022 14:45,99,69.20,126,64.30,84,62.80,65,59.10,374,64.30,4,0.00
9/13/2022 14:50,92,66.80,120,62.30,79,60.70,61,57.10,352,62.20,4,0.00
9/13/2022 14:55,104,69.90,130,64.90,88,63.50,68,59.70,390,65.00,4,0.00
9/13/2022 15:00,87,70.20,116,65.20,75,63.80,58,59.90,336,65.20,4,0.00
9/13/2022 15:05,94,68.40,121,63.60,81,62.10,62,58.40,358,63.60,4,0.00
9/13/2022 15:10,95,66.90,123,62.30,82,60.80,63,57.10,363,62.30,4,0.00
9/13/2022 15:15,112,65.80,137,61.40,95,59.90,75,56.20,419,61.30,4,0.00
9/13/2022 15:20,119,65.60,143,61.20,99,59.70,78,56.00,439,61.10,4,0.00
9/13/2022 15:25,117,66.40,141,61.90,97,60.40,76,56.70,431,61.90,4,0.00
9/13/2022 15:30,102,67.80,128,63.20,86,61.70,67,57.90,383,63.20,4,0.00
9/13/2022 15:35,104,68.90,130,64.00,88,62.60,68,58.80,390,64.10,4,0.00
9/13/2022 15:40,118,67.40,142,62.80,98,61.30,77,57.60,435,62.80,4,0.00
9/13/2022 15:45,107,68.30,132,63.50,90,62.00,70,58.30,399,63.50,4,0.00
9/13/2022 15:50,120,66.50,143,62.00,99,60.50,78,56.80,440,61.90,4,0.00
9/13/2022 15:55,64,71.00,93,67.40,83,64.00,68,59.60,308,65.50,4,0.00
9/13/2022 16:00,105,68.10,131,63.30,88,61.80,69,58.10,393,63.30,4,0.00
9/13/2022 16:05,104,68.80,130,63.90,88,62.50,68,58.70,390,64.00,4,0.00
9/13/2022 16:10,99,69.30,126,64.40,84,62.90,65,59.10,374,64.40,4,0.00
9/13/2022 16:15,114,68.60,138,63.80,95,62.30,74,58.50,421,63.80,4,0.00
9/13/2022 16:20,100,69.70,127,64.70,85,63.30,66,59.50,378,64.80,4,0.00
9/13/2022 16:25,122,69.60,145,64.60,101,63.20,79,59.40,447,64.70,4,0.00
9/13/2022 16:30,115,67.40,139,62.80,96,61.30,75,57.60,425,62.80,4,0.00
9/13/2022 16:35,114,68.10,139,63.40,95,61.90,75,58.20,423,63.40,4,0.00
9/13/2022 16:40,108,67.90,133,63.20,90,61.70,71,58.00,402,63.20,4,0.00
9/13/2022 16:45,118,67.80,142,63.10,98,61.60,77,57.90,435,63.10,4,0.00
9/13/2022 16:50,119,68.40,143,63.60,99,62.10,78,58.40,439,63.60,4,0.00
9/13/2022 16:55,109,69.90,134,64.90,91,63.50,71,59.70,405,65.00,4,0.00
9/13/2022 17:00,129,68.80,151,63.90,106,62.50,83,58.70,469,64.00,4,0.00
9/13/2022 17:05,108,69.40,133,64.50,90,63.00,71,59.20,402,64.50,4,0.00
9/13/2022 17:10,99,68.10,126,63.40,84,61.90,65,58.20,374,63.40,4,0.00
9/13/2022 17:15,115,69.20,139,64.30,96,62.90,75,59.10,425,64.40,4,0.00
9/13/2022 17:20,130,68.80,151,63.90,106,62.50,84,58.70,471,64.00,4,0.00
9/13/2022 17:25,132,68.60,153,63.80,108,62.30,85,58.50,478,63.80,4,0.00
9/13/2022 17:30,122,67.70,145,63.00,101,61.50,79,57.80,447,63.00,4,0.00
9/13/2022 17:35,120,67.40,143,62.70,99,61.20,78,57.50,440,62.70,4,0.00
9/13/2022 17:40,113,67.50,138,62.80,96,61.30,75,57.60,422,62.80,4,0.00
9/13/2022 17:45,107,67.70,132,63.00,90,61.50,70,57.80,399,63.00,4,0.00
9/13/2022 17:50,100,67.00,127,62.50,85,60.90,66,57.30,378,62.40,4,0.00
9/13/2022 17:55,117,67.40,141,62.70,97,61.20,76,57.50,431,62.70,4,0.00
9/13/2022 18:00,94,68.70,121,63.90,80,62.50,62,58.70,357,64.00,4,0.00
9/13/2022 18:05,87,69.60,116,64.70,75,63.20,58,59.50,336,64.70,4,0.00
9/13/2022 18:10,80,70.20,110,65.20,71,63.80,54,60.00,315,65.30,4,0.00
9/13/2022 18:15,97,70.00,124,65.00,83,63.60,64,59.80,368,65.10,4,0.00
9/13/2022 18:20,78,68.00,109,63.30,69,61.80,53,58.10,309,63.30,4,0.00
9/13/2022 18:25,76,69.00,106,64.20,67,62.70,51,59.00,300,64.20,4,0.00
9/13/2022 18:30,74,69.80,105,64.80,66,63.40,50,59.60,295,64.90,4,0.00
9/13/2022 18:35,78,69.40,109,64.50,69,63.10,53,59.30,309,64.50,4,0.00
9/13/2022 18:40,87,68.50,116,63.70,75,62.30,58,58.50,336,63.80,4,0.00
9/13/2022 18:45,82,68.70,112,63.90,72,62.50,55,58.70,321,63.90,4,0.00
9/13/2022 18:50,85,68.30,114,63.60,74,62.10,57,58.40,330,63.60,4,0.00
9/13/2022 18:55,58,69.70,91,64.80,54,63.30,40,59.50,243,64.80,4,0.00
9/13/2022 19:00,69,69.40,101,64.50,62,63.10,47,59.30,279,64.50,4,0.00
9/13/2022 19:05,59,69.80,92,64.80,55,63.40,40,59.60,246,64.90,4,0.00
9/13/2022 19:10,52,69.90,87,64.90,50,63.50,36,59.70,225,64.90,4,0.00
9/13/2022 19:15,61,68.70,94,63.90,56,62.50,42,58.70,253,63.90,4,0.00
9/13/2022 19:20,58,69.50,91,64.50,54,63.10,40,59.30,243,64.50,4,0.00
9/13/2022 19:25,61,68.30,94,63.50,56,62.00,42,58.30,253,63.50,4,0.00
9/13/2022 19:30,58,68.40,91,63.70,54,62.20,40,58.40,243,63.60,4,0.00
9/13/2022 19:35,49,69.20,84,64.30,48,62.90,35,59.10,216,64.30,4,0.00
9/13/2022 19:40,47,69.30,83,64.40,46,62.90,34,59.10,210,64.30,4,0.00
9/13/2022 19:45,63,69.10,96,64.20,58,62.80,43,59.00,260,64.20,4,0.00
9/13/2022 19:50,59,68.70,93,63.80,55,62.40,41,58.60,248,63.80,4,0.00
9/13/2022 19:55,59,68.60,93,63.80,55,62.40,41,58.60,248,63.80,4,0.00
9/13/2022 20:00,61,67.40,94,62.80,57,61.30,42,57.60,254,62.70,4,0.00
9/13/2022 20:05,42,69.00,79,64.20,43,62.70,31,59.00,195,64.10,4,0.00
9/13/2022 20:10,53,68.70,87,63.80,51,62.40,37,58.60,228,63.80,4,0.00
9/13/2022 20:15,53,69.20,87,64.30,51,62.80,37,59.10,228,64.30,4,0.00
9/13/2022 20:20,51,69.40,86,64.50,49,63.00,36,59.20,222,64.40,4,0.00
9/13/2022 20:25,56,69.60,90,64.60,53,63.20,39,59.40,238,64.60,4,0.00
9/13/2022 20:30,51,69.40,86,64.50,49,63.00,36,59.20,222,64.40,4,0.00
9/13/2022 20:35,43,69.80,79,64.80,44,63.40,31,59.60,197,64.80,4,0.00
9/13/2022 20:40,49,69.90,84,64.90,48,63.50,35,59.70,216,64.90,4,0.00
9/13/2022 20:45,43,69.60,79,64.70,44,63.20,31,59.50,197,64.60,4,0.00
9/13/2022 20:50,41,69.70,78,64.70,42,63.30,30,59.50,191,64.70,4,0.00
9/13/2022 20:55,47,69.00,83,64.10,46,62.70,34,58.90,210,64.00,4,0.00
9/13/2022 21:00,47,69.20,83,64.30,46,62.80,34,59.10,210,64.20,4,0.00
9/13/2022 21:05,45,68.40,81,63.70,45,62.20,32,58.40,203,63.60,4,0.00
9/13/2022 21:10,49,69.30,84,64.40,48,63.00,35,59.20,216,64.40,4,0.00
9/13/2022 21:15,46,69.80,82,64.80,46,63.40,33,59.60,207,64.80,4,0.00
9/13/2022 21:20,46,70.60,82,65.50,46,64.10,33,60.30,207,65.50,4,0.00
9/13/2022 21:25,33,70.20,71,65.20,36,63.80,25,60.00,165,65.10,4,0.00
9/13/2022 21:30,47,70.10,83,65.10,46,63.70,34,59.90,210,65.10,4,0.00
9/13/2022 21:35,39,69.60,75,64.60,40,63.20,28,59.40,182,64.60,4,0.00
9/13/2022 21:40,47,69.50,83,64.50,46,63.10,34,59.30,210,64.50,4,0.00
9/13/2022 21:45,29,69.90,68,64.90,33,63.50,23,59.70,153,64.80,4,0.00
9/13/2022 21:50,37,70.20,74,65.20,39,63.80,27,60.00,177,65.10,4,0.00
9/13/2022 21:55,36,70.50,73,65.40,38,64.00,27,60.20,174,65.40,4,0.00
9/13/2022 22:00,34,70.50,72,65.40,37,64.00,25,60.20,168,65.40,4,0.00
9/13/2022 22:05,35,70.70,72,65.60,38,64.20,26,60.40,171,65.50,4,0.00
9/13/2022 22:10,32,69.90,70,64.90,36,63.50,24,59.70,162,64.80,4,0.00
9/13/2022 22:15,40,70.60,77,65.50,42,64.10,29,60.30,188,65.50,4,0.00
9/13/2022 22:20,31,70.70,69,65.60,35,64.20,24,60.40,159,65.50,4,0.00
9/13/2022 22:25,35,70.10,72,65.10,38,63.70,26,59.90,171,65.00,4,0.00
9/13/2022 22:30,36,70.80,73,65.70,38,64.30,27,60.50,174,65.60,4,0.00
9/13/2022 22:35,27,70.90,66,65.80,32,64.40,21,60.60,146,65.70,4,0.00
9/13/2022 22:40,29,69.90,68,64.90,33,63.50,23,59.70,153,64.80,4,0.00
9/13/2022 22:45,22,69.90,62,64.90,29,63.50,18,59.70,131,64.70,4,0.00
9/13/2022 22:50,28,70.30,67,65.30,33,63.80,22,60.00,150,65.10,4,0.00
9/13/2022 22:55,25,70.30,64,65.30,31,63.80,20,60.00,140,65.10,4,0.00
9/13/2022 23:00,19,70.40,58,65.40,24,63.90,14,60.10,115,65.30,4,0.00
9/13/2022 23:05,23,70.00,63,65.00,29,63.60,19,59.70,134,64.80,4,0.00
9/13/2022 23:10,17,70.40,57,65.40,25,63.90,15,60.10,114,65.10,4,0.00
9/13/2022 23:15,16,70.30,57,65.30,24,63.80,14,60.00,111,65.00,4,0.00
9/13/2022 23:20,19,70.40,59,65.40,26,63.90,16,60.10,120,65.20,4,0.00
9/13/2022 23:25,21,70.40,61,65.40,28,63.90,18,60.10,128,65.10,4,0.00
9/13/2022 23:30,17,70.30,57,65.30,25,63.80,15,60.00,114,65.00,4,0.00
9/13/2022 23:35,23,70.20,63,65.20,29,63.80,19,60.00,134,65.00,4,0.00
9/13/2022 23:40,19,70.30,59,65.30,26,63.80,16,60.00,120,65.10,4,0.00
9/13/2022 23:45,16,70.20,57,65.20,24,63.80,14,60.00,111,64.90,4,0.00
9/13/2022 23:50,20,70.20,60,65.20,27,63.80,17,60.00,124,65.00,4,0.00
9/13/2022 23:55,16,70.30,57,65.30,24,63.80,14,60.00,111,65.00,4,0.00
9/14/2022 0:00,17,70.40,57,65.40,25,63.90,13,60.10,112,65.20,4,0.00
9/14/2022 0:05,12,70.40,53,65.40,21,63.90,12,60.10,98,65.00,4,0.00
