5 Minutes,Lane 1 Speed (mph),Lane 1 Flow (Veh/5 Minutes),Lane 2 Speed (mph),Lane 2 Flow (Veh/5 Minutes),Lane 3 Speed (mph),Lane 3 Flow (Veh/5 Minutes),Lane 4 Speed (mph),Lane 4 Flow (Veh/5 Minutes),Lane 5 Speed (mph),Lane 5 Flow (Veh/5 Minutes),Lane 6 Speed (mph),Lane 6 Flow (Veh/5 Minutes),Speed (mph),Flow (Veh/5 Minutes),# Lane Points,% Observed
9/13/2022 2:00,74.00,9,71.00,19,68.50,7,68.90,6,63.30,6,61.90,21,67.50,68,6,0.00
9/13/2022 2:05,73.00,11,70.20,20,67.70,8,68.90,14,62.80,13,61.40,21,66.90,87,6,0.00
9/13/2022 2:10,73.40,10,70.50,19,68.00,8,68.90,7,63.00,7,63.20,1,69.30,52,6,0.00
9/13/2022 2:15,73.60,7,70.70,22,68.20,9,68.90,7,63.10,1,63.40,0,70.20,46,6,0.00
9/13/2022 2:20,73.70,9,70.80,20,68.30,7,68.90,6,63.20,6,61.70,22,67.20,70,6,0.00
9/13/2022 2:25,74.00,8,71.10,19,68.50,7,68.90,11,63.40,11,61.80,21,67.20,77,6,0.00
9/13/2022 2:30,72.90,7,70.10,20,67.60,8,68.90,6,62.70,6,62.80,1,68.90,48,6,0.00
9/13/2022 2:35,73.00,8,70.20,22,67.70,9,68.90,9,62.80,1,62.90,0,69.80,49,6,0.00
9/13/2022 2:40,72.90,13,70.10,20,67.70,9,68.90,10,62.70,9,62.90,1,69.00,62,6,0.00
9/13/2022 2:45,72.50,10,69.70,19,67.30,7,68.90,7,62.40,7,62.90,1,68.70,51,6,0.00
9/13/2022 2:50,73.00,7,70.20,22,67.70,9,68.90,2,62.70,2,63.10,1,69.50,43,6,0.00
9/13/2022 2:55,73.10,8,70.30,21,67.80,8,68.90,9,62.80,8,63.50,1,68.90,55,6,0.00
9/13/2022 3:00,73.00,14,70.20,20,67.70,8,68.90,10,62.70,9,63.20,1,69.10,62,6,0.00
9/13/2022 3:05,73.30,6,70.50,22,68.00,9,68.90,4,62.90,4,63.40,1,69.40,46,6,0.00
9/13/2022 3:10,73.60,8,70.70,21,68.20,10,68.90,11,63.10,10,63.60,2,68.90,62,6,0.00
9/13/2022 3:15,73.50,7,70.60,21,68.20,9,68.90,10,63.10,9,63.40,1,69.00,57,6,0.00
9/13/2022 3:20,73.30,6,70.50,22,68.00,10,68.90,14,62.90,12,63.40,2,68.50,66,6,0.00
9/13/2022 3:25,73.50,6,70.60,22,68.20,10,68.90,13,63.00,11,63.40,2,68.60,64,6,0.00
9/13/2022 3:30,73.50,12,70.60,27,68.20,15,68.90,8,63.00,7,63.40,3,69.40,72,6,0.00
9/13/2022 3:35,73.60,19,70.70,32,68.30,20,68.90,15,63.10,11,63.40,4,69.40,101,6,0.00
9/13/2022 3:40,72.90,11,70.10,26,67.60,14,68.90,12,62.70,10,62.90,2,68.70,75,6,0.00
9/13/2022 3:45,73.50,9,70.70,25,68.20,13,68.90,9,63.10,8,63.30,2,69.20,66,6,0.00
9/13/2022 3:50,73.30,15,70.50,29,68.00,17,68.90,12,63.00,10,63.20,3,69.20,86,6,0.00
9/13/2022 3:55,74.00,17,71.10,31,68.60,18,68.90,13,63.40,10,63.60,4,69.70,93,6,0.00
9/13/2022 4:00,73.80,18,70.90,32,68.40,19,68.90,14,63.20,11,63.40,4,69.50,98,6,0.00
9/13/2022 4:05,74.70,20,71.70,33,69.20,20,68.90,16,63.80,13,63.80,4,70.10,106,6,0.00
9/13/2022 4:10,74.80,20,71.80,34,69.30,20,68.90,19,63.90,15,63.90,4,70.10,112,6,0.00
9/13/2022 4:15,74.30,30,71.40,41,68.90,27,68.90,23,63.60,18,63.30,7,69.80,146,6,0.00
9/13/2022 4:20,74.40,36,71.40,46,68.90,31,68.90,23,63.60,20,63.40,8,69.90,164,6,0.00
9/13/2022 4:25,73.00,40,70.20,49,67.70,33,68.90,31,62.70,24,62.90,8,68.90,185,6,0.00
9/13/2022 4:30,74.30,34,71.30,44,68.80,30,68.90,22,63.50,21,63.40,7,69.80,158,6,0.00
9/13/2022 4:35,71.50,36,68.90,46,66.40,31,68.90,25,61.80,20,62.50,8,67.80,166,6,0.00
9/13/2022 4:40,73.90,47,71.00,55,68.50,39,68.90,31,63.30,24,63.20,10,69.60,206,6,0.00
9/13/2022 4:45,73.40,56,70.60,62,68.10,45,68.90,36,63.00,35,62.80,12,69.10,246,6,0.00
9/13/2022 4:50,74.40,51,71.40,58,68.90,41,68.90,33,63.60,26,63.50,11,69.90,220,6,0.00
9/13/2022 4:55,73.30,52,70.50,59,68.00,42,68.90,33,62.90,31,62.90,11,69.10,228,6,0.00
9/13/2022 5:00,73.50,64,70.60,68,68.10,50,68.90,41,63.00,31,62.90,11,69.40,265,6,0.00
9/13/2022 5:05,75.20,65,72.10,69,69.60,51,69.00,42,64.10,31,64.10,12,70.60,270,6,0.00
9/13/2022 5:10,75.70,78,72.50,79,70.00,59,69.00,50,64.40,43,64.30,16,70.80,325,6,0.00
9/13/2022 5:15,74.30,99,71.40,96,68.90,74,68.90,63,63.60,47,63.70,16,70.00,395,6,0.00
9/13/2022 5:20,75.30,85,72.10,85,69.60,64,68.90,54,64.10,41,63.60,15,70.60,344,6,0.00
9/13/2022 5:25,74.70,82,71.70,82,69.20,62,68.90,53,63.80,39,63.90,16,70.20,334,6,0.00
9/13/2022 5:30,73.60,87,70.70,86,68.20,65,68.90,56,63.10,42,63.10,17,69.40,353,6,0.00
9/13/2022 5:35,74.40,103,71.40,99,68.80,76,68.90,66,63.60,59,63.80,21,69.80,424,6,0.00
9/13/2022 5:40,72.60,104,69.90,99,67.40,77,68.90,66,62.50,50,63.10,21,68.70,417,6,0.00
9/13/2022 5:45,72.50,112,69.80,105,67.30,82,68.90,71,62.50,53,62.90,22,68.70,445,6,0.00
9/13/2022 5:50,71.70,109,69.10,103,66.70,80,68.90,70,62.00,52,62.70,22,68.10,436,6,0.00
9/13/2022 5:55,72.00,117,69.30,110,66.90,86,68.90,75,62.10,55,62.90,22,68.30,465,6,0.00
9/13/2022 6:00,68.50,108,66.30,102,63.90,79,68.80,69,60.00,51,61.60,22,65.90,431,6,0.00
9/13/2022 6:05,67.90,116,65.80,108,63.40,85,68.80,74,59.60,55,61.50,23,65.40,461,6,0.00
9/13/2022 6:10,68.10,100,66.00,96,63.60,75,68.80,64,59.70,48,62.10,20,65.60,403,6,0.00
9/13/2022 6:15,67.00,130,65.10,120,62.70,94,68.80,83,59.10,62,61.60,25,64.80,514,6,0.00
9/13/2022 6:20,67.40,133,65.30,122,63.00,97,68.80,85,59.30,63,61.80,27,65.10,527,6,0.00
9/13/2022 6:25,67.20,124,65.20,114,62.80,89,68.80,77,59.20,57,61.30,24,65.00,485,6,0.00
9/13/2022 6:30,66.30,143,64.40,130,62.00,103,68.80,91,58.60,67,61.00,29,64.30,563,6,0.00
9/13/2022 6:35,65.80,139,64.00,126,61.60,99,68.80,87,58.30,64,61.20,28,64.00,543,6,0.00
9/13/2022 6:40,65.40,144,63.60,131,61.20,104,68.80,92,58.10,67,60.60,29,63.70,567,6,0.00
9/13/2022 6:45,65.70,127,63.90,117,61.50,91,68.80,79,58.30,58,60.60,25,63.90,497,6,0.00
9/13/2022 6:50,66.50,129,64.60,119,62.20,93,68.80,81,58.70,60,61.10,27,64.40,509,6,0.00
9/13/2022 6:55,65.40,132,63.70,120,61.30,94,68.80,82,58.10,61,60.30,27,63.70,516,6,0.00
9/13/2022 7:00,66.40,133,64.50,122,62.10,95,68.80,83,58.70,61,60.80,27,64.40,521,6,0.00
9/13/2022 7:05,66.30,138,64.40,125,62.00,98,68.80,86,58.60,63,60.80,27,64.30,537,6,0.00
9/13/2022 7:10,66.90,142,65.00,128,62.60,101,68.80,88,59.00,65,61.10,27,64.70,551,6,0.00
9/13/2022 7:15,66.80,144,64.90,129,62.50,102,68.80,89,59.00,65,61.40,27,64.70,556,6,0.00
9/13/2022 7:20,63.70,150,62.10,135,59.70,106,68.80,93,57.00,68,59.40,30,62.40,582,6,0.00
9/13/2022 7:25,58.70,141,57.80,127,55.50,100,68.70,87,53.90,64,57.90,28,58.90,547,6,0.00
9/13/2022 7:30,47.10,127,47.80,117,45.60,91,68.50,79,46.80,59,53.40,27,50.70,500,6,0.00
9/13/2022 7:35,37.40,108,39.50,102,37.40,80,68.40,70,40.90,52,50.00,24,44.00,436,6,0.00
9/13/2022 7:40,41.30,129,42.90,118,40.70,92,68.40,80,43.30,59,51.60,26,46.60,504,6,0.00
9/13/2022 7:45,35.40,129,37.80,119,35.70,94,68.30,83,39.70,63,48.90,29,42.60,517,6,0.00
9/13/2022 7:50,30.00,126,33.20,116,31.10,92,68.30,81,36.40,60,47.10,29,38.80,504,6,0.00
9/13/2022 7:55,31.00,136,34.00,124,32.20,99,68.30,88,37.00,66,47.30,30,39.60,543,6,0.00
9/13/2022 8:00,34.70,144,37.20,131,35.10,104,68.30,93,39.30,70,48.80,32,42.20,574,6,0.00
9/13/2022 8:05,39.30,138,41.10,125,39.10,98,68.40,86,42.10,65,50.40,29,45.20,541,6,0.00
9/13/2022 8:10,42.50,135,43.80,123,41.70,97,68.50,85,44.00,62,51.70,29,47.50,531,6,0.00
9/13/2022 8:15,50.70,128,50.90,118,48.70,92,68.60,80,49.00,59,54.80,27,53.20,504,6,0.00
9/13/2022 8:20,52.60,137,52.40,124,50.00,98,68.60,85,50.10,63,55.40,28,54.50,535,6,0.00
9/13/2022 8:25,54.20,142,53.90,128,51.70,101,68.60,88,51.20,65,56.00,30,55.70,554,6,0.00
9/13/2022 8:30,51.80,150,51.90,135,49.60,106,68.60,93,49.70,69,55.10,32,54.00,585,6,0.00
9/13/2022 8:35,43.30,122,44.50,113,42.40,88,68.50,77,44.50,57,51.20,26,48.00,483,6,0.00
9/13/2022 8:40,35.60,127,38.10,117,36.40,92,68.40,80,39.80,59,48.10,27,42.70,502,6,0.00
9/13/2022 8:45,32.00,124,35.10,115,33.60,90,68.30,78,37.70,58,46.80,26,40.30,491,6,0.00
9/13/2022 8:50,30.70,121,33.80,113,32.30,89,68.30,78,36.80,59,46.60,26,39.30,486,6,0.00
9/13/2022 8:55,28.50,115,31.80,107,30.00,84,68.20,74,35.50,55,45.90,25,37.70,460,6,0.00
9/13/2022 9:00,29.70,117,32.90,109,30.90,85,68.30,73,36.20,54,46.40,24,38.40,462,6,0.00
9/13/2022 9:05,39.50,117,41.50,109,39.80,85,68.40,74,42.20,55,49.90,24,45.50,464,6,0.00
9/13/2022 9:10,47.60,121,48.40,112,46.50,88,68.50,76,47.20,56,52.80,25,51.10,478,6,0.00
9/13/2022 9:15,43.40,130,44.80,119,43.00,94,68.50,82,44.60,60,51.60,29,48.30,514,6,0.00
9/13/2022 9:20,48.20,122,48.90,113,47.00,88,68.50,76,47.50,56,53.50,25,51.60,480,6,0.00
9/13/2022 9:25,53.50,128,53.40,117,51.10,92,68.60,80,50.80,59,55.50,28,55.20,504,6,0.00
9/13/2022 9:30,59.00,136,58.10,124,55.80,97,68.70,85,54.20,63,57.70,29,59.10,534,6,0.00
9/13/2022 9:35,61.30,118,60.10,110,57.70,85,68.70,74,55.50,55,58.20,25,60.70,467,6,0.00
9/13/2022 9:40,64.60,112,62.90,105,60.50,82,68.80,71,57.60,52,59.60,21,63.00,443,6,0.00
9/13/2022 9:45,65.10,122,63.40,113,61.00,88,68.80,76,57.90,56,59.80,25,63.40,480,6,0.00
9/13/2022 9:50,65.10,116,63.30,108,61.00,84,68.80,73,57.90,54,60.10,24,63.40,459,6,0.00
9/13/2022 9:55,66.10,115,64.20,107,61.80,83,68.80,72,58.50,53,60.90,24,64.10,454,6,0.00
9/13/2022 10:00,66.30,124,64.40,115,62.00,90,68.80,78,58.60,57,60.70,25,64.30,489,6,0.00
9/13/2022 10:05,66.40,115,64.60,107,62.20,83,68.80,72,58.70,53,60.70,22,64.40,452,6,0.00
9/13/2022 10:10,67.90,114,65.80,106,63.40,83,68.80,71,59.60,53,61.40,22,65.40,449,6,0.00
9/13/2022 10:15,68.40,103,66.20,98,63.80,76,68.80,65,59.90,48,61.70,20,65.80,410,6,0.00
9/13/2022 10:20,68.60,110,66.40,103,64.00,80,68.80,69,60.00,51,61.50,21,65.90,434,6,0.00
9/13/2022 10:25,68.50,115,66.30,108,63.90,84,68.80,72,60.00,54,61.20,24,65.80,457,6,0.00
9/13/2022 10:30,69.20,110,66.90,103,64.50,80,68.90,69,60.40,51,61.40,21,66.30,434,6,0.00
9/13/2022 10:35,69.10,107,66.80,102,64.40,79,68.90,69,60.30,51,61.50,21,66.20,429,6,0.00
9/13/2022 10:40,65.00,111,63.30,105,61.00,81,68.80,70,57.80,52,60.10,23,63.40,442,6,0.00
9/13/2022 10:45,66.90,120,65.00,111,62.60,86,68.80,75,59.00,55,60.50,22,64.80,469,6,0.00
9/13/2022 10:50,69.00,111,66.80,104,64.40,81,68.90,70,60.30,52,61.50,21,66.20,439,6,0.00
9/13/2022 10:55,69.80,101,67.40,96,65.00,74,68.90,64,60.80,47,62.10,21,66.80,403,6,0.00
9/13/2022 11:00,69.50,101,67.20,97,64.70,75,68.90,64,60.60,48,61.30,21,66.50,406,6,0.00
9/13/2022 11:05,68.30,86,66.10,85,63.70,65,68.80,55,59.90,41,60.70,15,65.70,347,6,0.00
9/13/2022 11:10,67.30,98,65.30,94,62.90,73,68.80,62,59.20,46,60.10,18,64.90,391,6,0.00
9/13/2022 11:15,68.80,78,66.60,79,64.20,60,68.90,51,60.10,38,61.30,17,66.00,323,6,0.00
9/13/2022 11:20,67.30,95,65.30,92,62.90,70,68.80,60,59.20,45,59.80,19,64.90,381,6,0.00
9/13/2022 11:25,67.50,98,65.50,94,63.10,72,68.80,62,59.40,46,60.80,19,65.10,391,6,0.00
9/13/2022 11:30,68.50,90,66.30,88,63.90,67,68.80,57,60.00,43,61.40,19,65.80,364,6,0.00
9/13/2022 11:35,69.50,96,67.20,93,64.80,71,68.90,61,60.60,46,61.90,19,66.50,386,6,0.00
9/13/2022 11:40,70.00,88,67.60,86,65.20,66,68.90,56,60.90,42,62.00,17,66.90,355,6,0.00
9/13/2022 11:45,69.40,92,67.10,90,64.70,69,68.90,59,60.50,44,61.50,19,66.50,373,6,0.00
9/13/2022 11:50,69.40,100,67.00,96,64.60,74,68.90,63,60.50,47,61.40,21,66.40,401,6,0.00
9/13/2022 11:55,68.80,92,66.50,89,64.10,68,68.80,58,60.10,43,61.00,18,66.00,368,6,0.00
9/13/2022 12:00,67.50,98,65.40,94,63.00,73,68.80,62,59.40,46,61.20,20,65.10,393,6,0.00
9/13/2022 12:05,68.30,73,66.10,75,63.70,56,68.80,47,59.80,35,61.10,13,65.60,299,6,0.00
9/13/2022 12:10,67.20,101,65.20,97,62.80,74,68.80,64,59.20,48,60.90,22,64.90,406,6,0.00
9/13/2022 12:15,67.30,91,65.30,89,62.90,68,68.80,58,59.30,44,60.60,20,65.00,370,6,0.00
9/13/2022 12:20,68.30,88,66.20,87,63.80,66,68.80,56,59.90,42,61.00,17,65.70,356,6,0.00
9/13/2022 12:25,67.50,86,65.50,85,63.10,64,68.80,55,59.40,41,60.90,15,65.10,346,6,0.00
9/13/2022 12:30,68.80,76,66.60,78,64.10,59,68.80,49,60.20,37,61.10,17,66.00,316,6,0.00
9/13/2022 12:35,68.80,96,66.60,93,64.10,71,68.80,61,60.10,46,61.20,19,66.00,386,6,0.00
9/13/2022 12:40,69.20,92,66.90,90,64.40,69,68.90,59,60.40,44,61.60,20,66.30,374,6,0.00
9/13/2022 12:45,67.40,97,65.40,93,63.00,72,68.80,61,59.30,46,60.80,17,65.10,386,6,0.00
9/13/2022 12:50,66.90,89,64.90,88,62.40,67,68.80,57,59.00,43,60.20,18,64.60,362,6,0.00
9/13/2022 12:55,68.80,92,66.60,89,64.20,68,68.90,58,60.10,44,61.00,18,66.00,369,6,0.00
9/13/2022 13:00,70.20,90,67.80,88,65.40,67,68.90,57,61.00,43,61.70,18,67.00,363,6,0.00
9/13/2022 13:05,70.50,99,68.00,95,65.60,73,68.90,63,61.20,47,61.90,19,67.20,396,6,0.00
9/13/2022 13:10,68.90,90,66.70,88,64.20,67,68.90,57,60.20,43,61.50,17,66.10,362,6,0.00
9/13/2022 13:15,70.60,95,68.10,92,65.70,71,68.90,61,61.20,45,62.00,19,67.30,383,6,0.00
9/13/2022 13:20,71.40,96,68.80,92,66.40,71,68.90,61,61.80,45,62.70,20,67.90,385,6,0.00
9/13/2022 13:25,69.50,102,67.10,98,64.70,75,68.90,65,60.60,48,61.90,19,66.50,407,6,0.00
9/13/2022 13:30,69.90,89,67.50,87,65.10,67,68.90,57,60.80,42,61.80,17,66.80,359,6,0.00
9/13/2022 13:35,70.80,86,68.30,85,65.80,65,68.90,55,61.40,41,61.70,17,67.40,349,6,0.00
9/13/2022 13:40,69.70,79,67.40,80,64.90,60,68.90,51,60.70,38,62.00,16,66.70,324,6,0.00
9/13/2022 13:45,69.30,92,67.00,90,64.60,69,68.90,59,60.50,44,61.60,20,66.40,374,6,0.00
9/13/2022 13:50,70.00,100,67.60,96,65.10,74,68.90,63,60.90,47,61.90,21,66.90,401,6,0.00
9/13/2022 13:55,69.30,93,67.00,91,64.60,70,68.90,60,60.50,44,61.70,19,66.40,377,6,0.00
9/13/2022 14:00,69.50,88,67.20,87,64.70,66,68.90,57,60.60,42,61.30,18,66.50,358,6,0.00
9/13/2022 14:05,70.80,97,68.30,94,65.90,72,68.90,62,61.40,46,61.90,20,67.40,391,6,0.00
9/13/2022 14:10,70.80,95,68.30,92,65.80,71,68.90,61,61.40,45,61.90,19,67.40,383,6,0.00
9/13/2022 14:15,70.10,80,67.70,81,65.30,61,68.90,52,61.00,39,61.70,15,66.90,328,6,0.00
9/13/2022 14:20,70.80,97,68.30,93,65.80,72,68.90,62,61.40,46,62.10,20,67.40,390,6,0.00
9/13/2022 14:25,70.30,96,67.90,93,65.40,71,68.90,61,61.10,45,62.20,19,67.10,385,6,0.00
9/13/2022 14:30,70.70,90,68.30,88,65.80,67,68.90,57,61.40,43,62.50,19,67.40,364,6,0.00
9/13/2022 14:35,69.90,107,67.50,101,65.10,78,68.90,67,60.90,50,61.90,20,66.90,423,6,0.00
9/13/2022 14:40,70.20,96,67.70,93,65.30,71,68.90,61,61.00,46,62.20,19,67.00,386,6,0.00
9/13/2022 14:45,70.00,106,67.60,100,65.20,77,68.90,67,60.90,50,62.10,22,66.90,422,6,0.00
9/13/2022 14:50,71.30,95,68.70,92,66.30,71,68.90,61,61.70,45,62.60,19,67.80,383,6,0.00
9/13/2022 14:55,72.10,90,69.40,88,66.90,67,68.90,58,62.20,43,62.60,19,68.30,365,6,0.00
9/13/2022 15:00,72.00,97,69.40,93,66.90,72,68.90,61,62.10,46,62.50,19,68.30,388,6,0.00
9/13/2022 15:05,70.60,88,68.10,87,65.60,66,68.90,56,61.20,42,61.60,20,67.20,359,6,0.00
9/13/2022 15:10,69.70,97,67.40,94,64.90,72,68.90,62,60.70,46,61.50,19,66.70,390,6,0.00
9/13/2022 15:15,69.80,121,67.40,112,65.00,87,68.90,76,60.80,56,61.70,26,66.70,478,6,0.00
9/13/2022 15:20,70.50,100,68.00,96,65.60,74,68.90,64,61.20,47,62.30,20,67.20,401,6,0.00
9/13/2022 15:25,71.70,103,69.10,99,66.60,76,68.90,66,61.90,49,62.40,24,68.00,417,6,0.00
9/13/2022 15:30,70.80,111,68.30,104,65.80,81,68.90,70,61.40,52,62.00,23,67.40,441,6,0.00
9/13/2022 15:35,69.20,100,66.90,96,64.50,74,68.90,64,60.40,48,61.60,20,66.30,402,6,0.00
9/13/2022 15:40,69.50,105,67.20,100,64.80,77,68.90,66,60.60,49,61.50,20,66.60,417,6,0.00
9/13/2022 15:45,69.30,101,67.00,97,64.60,75,68.90,64,60.50,48,61.70,19,66.40,404,6,0.00
9/13/2022 15:50,70.20,120,67.80,111,65.30,86,68.90,75,61.00,55,62.10,23,67.00,470,6,0.00
9/13/2022 15:55,69.00,84,66.70,97,64.90,85,62.40,87,58.10,79,58.10,61,63.60,493,6,0.00
9/13/2022 16:00,70.50,92,68.10,90,65.60,68,68.90,58,61.20,44,62.50,17,67.30,369,6,0.00
9/13/2022 16:05,70.80,95,68.30,92,65.90,71,68.90,60,61.40,45,62.80,18,67.50,381,6,0.00
9/13/2022 16:10,70.40,107,68.00,101,65.60,78,68.90,68,61.20,50,62.40,21,67.20,425,6,0.00
9/13/2022 16:15,71.20,102,68.60,97,66.20,75,68.90,65,61.60,48,62.80,21,67.70,408,6,0.00
9/13/2022 16:20,71.10,109,68.50,103,66.10,80,68.90,69,61.50,51,62.50,23,67.60,435,6,0.00
9/13/2022 16:25,70.00,101,67.60,97,65.20,74,68.90,64,60.90,48,62.10,21,66.90,405,6,0.00
9/13/2022 16:30,71.50,101,68.90,96,66.50,74,68.90,64,61.80,47,62.60,18,68.00,400,6,0.00
9/13/2022 16:35,71.30,106,68.70,101,66.30,78,68.90,67,61.70,50,62.20,21,67.80,423,6,0.00
9/13/2022 16:40,71.00,103,68.40,98,66.00,76,68.90,65,61.50,48,61.90,21,67.50,411,6,0.00
9/13/2022 16:45,70.00,113,67.60,106,65.10,82,68.90,71,60.90,53,61.80,23,66.80,448,6,0.00
9/13/2022 16:50,70.00,101,67.60,96,65.10,74,68.90,64,60.90,47,62.10,20,66.90,402,6,0.00
9/13/2022 16:55,71.80,110,69.20,104,66.70,81,68.90,70,62.00,52,62.60,23,68.20,440,6,0.00
9/13/2022 17:00,72.80,96,70.00,93,67.50,71,68.90,61,62.60,46,63.30,19,68.80,386,6,0.00
9/13/2022 17:05,71.10,101,68.50,97,66.10,75,68.90,64,61.60,48,62.40,19,67.70,404,6,0.00
9/13/2022 17:10,70.80,106,68.30,100,65.90,78,68.90,67,61.40,50,62.10,22,67.40,423,6,0.00
9/13/2022 17:15,70.70,105,68.20,100,65.70,77,68.90,66,61.30,49,62.20,21,67.40,418,6,0.00
9/13/2022 17:20,70.30,118,67.90,110,65.40,86,68.90,74,61.10,55,62.00,24,67.10,467,6,0.00
9/13/2022 17:25,70.60,110,68.20,103,65.70,80,68.90,69,61.30,51,62.20,21,67.30,434,6,0.00
9/13/2022 17:30,70.20,106,67.70,100,65.30,77,68.90,67,61.00,49,61.90,21,67.00,420,6,0.00
9/13/2022 17:35,69.50,99,67.20,95,64.70,73,68.90,63,60.60,47,61.60,20,66.50,397,6,0.00
9/13/2022 17:40,70.60,101,68.10,97,65.70,75,68.90,64,61.30,48,62.10,21,67.30,406,6,0.00
9/13/2022 17:45,68.60,104,66.40,99,63.90,76,68.80,66,60.00,49,60.90,21,65.80,415,6,0.00
9/13/2022 17:50,70.20,97,67.70,93,65.30,72,68.90,62,61.00,46,62.10,20,67.00,390,6,0.00
9/13/2022 17:55,70.20,94,67.80,91,65.30,70,68.90,60,61.00,45,61.90,20,67.00,380,6,0.00
9/13/2022 18:00,70.90,90,68.40,88,65.90,67,68.90,57,61.40,43,62.40,18,67.50,363,6,0.00
9/13/2022 18:05,70.40,88,68.00,87,65.50,66,68.90,57,61.10,42,62.00,18,67.20,358,6,0.00
9/13/2022 18:10,71.50,83,68.90,83,66.50,63,68.90,54,61.80,40,62.70,17,68.00,340,6,0.00
9/13/2022 18:15,72.40,84,69.70,84,67.20,64,68.90,54,62.40,41,62.90,18,68.60,345,6,0.00
9/13/2022 18:20,73.30,79,70.50,79,68.00,60,68.90,51,62.90,38,63.30,16,69.20,323,6,0.00
9/13/2022 18:25,73.40,84,70.50,84,68.00,64,68.90,54,63.00,41,63.40,19,69.20,346,6,0.00
9/13/2022 18:30,72.70,76,69.90,77,67.50,58,68.90,49,62.60,37,62.90,16,68.80,313,6,0.00
9/13/2022 18:35,72.10,75,69.40,77,66.90,58,68.90,48,62.20,36,62.90,14,68.40,308,6,0.00
9/13/2022 18:40,71.40,82,68.80,82,66.30,62,68.90,53,61.70,40,62.40,17,67.80,336,6,0.00
9/13/2022 18:45,71.00,75,68.50,76,66.10,58,68.90,48,61.50,36,62.40,15,67.60,308,6,0.00
9/13/2022 18:50,72.00,58,69.40,64,66.90,47,68.90,39,62.10,30,62.80,12,68.30,250,6,0.00
9/13/2022 18:55,72.20,61,69.50,66,67.10,48,68.90,40,62.30,30,62.80,11,68.50,256,6,0.00
